start_time,close,datetime,high,low,open,volume
1717599600000,71567.3,2024-06-05 15:00:00,71717.9,70761.9,70868.0,609.58700036
1717603200000,71312.8,2024-06-05 16:00:00,71754.7,71266.1,71567.2,325.18288085
1717606800000,71631.6,2024-06-05 17:00:00,71717.0,71235.2,71312.7,267.57453502
1717610400000,71100.4,2024-06-05 18:00:00,71744.9,70900.0,71629.8,401.30119557
1717614000000,71286.4,2024-06-05 19:00:00,71420.0,70865.5,71096.4,599.91444316
1717617600000,71197.4,2024-06-05 20:00:00,71368.0,71161.9,71286.5,250.64462474
1717621200000,71149.0,2024-06-05 21:00:00,71219.9,71030.5,71197.3,72.47716154
1717624800000,71143.9,2024-06-05 22:00:00,71279.9,71093.7,71149.0,58.3482223
1717628400000,71112.0,2024-06-05 23:00:00,71293.7,70708.0,71143.9,254.65193327
1717632000000,71021.6,2024-06-06 00:00:00,71189.8,70957.6,71105.5,89.90479452
1717635600000,71126.6,2024-06-06 01:00:00,71187.5,70900.3,71021.6,86.79841994
1717639200000,71160.9,2024-06-06 02:00:00,71241.1,71099.9,71128.0,96.80472979
1717642800000,71049.2,2024-06-06 03:00:00,71188.2,71016.2,71161.0,82.86397501
1717646400000,71052.7,2024-06-06 04:00:00,71111.3,70914.0,71049.3,92.44001313
1717650000000,70901.3,2024-06-06 05:00:00,71084.2,70810.2,71052.7,140.34489659
1717653600000,70895.2,2024-06-06 06:00:00,71038.8,70802.3,70900.5,162.30771983
1717657200000,71020.4,2024-06-06 07:00:00,71067.9,70853.0,70893.9,101.21687665
1717660800000,70899.9,2024-06-06 08:00:00,71039.6,70853.9,71020.3,144.04201198
1717664400000,70977.0,2024-06-06 09:00:00,71140.6,70900.0,70900.0,210.39258692
1717668000000,70988.0,2024-06-06 10:00:00,71010.4,70885.0,70979.9,105.97930381
1717671600000,71162.7,2024-06-06 11:00:00,71188.0,70925.0,70991.5,123.34882678
1717675200000,71189.9,2024-06-06 12:00:00,71450.0,71053.9,71162.8,265.44584873
1717678800000,71118.7,2024-06-06 13:00:00,71540.0,71001.1,71188.4,313.04143282
1717682400000,71456.0,2024-06-06 14:00:00,71517.0,71015.0,71118.7,338.20032134
1717686000000,71302.2,2024-06-06 15:00:00,71651.5,71248.6,71455.9,262.5475082
1717689600000,70943.9,2024-06-06 16:00:00,71382.5,70829.0,71302.3,430.23131726
1717693200000,71107.1,2024-06-06 17:00:00,71228.2,70800.0,70944.0,259.63126894
1717696800000,71076.4,2024-06-06 18:00:00,71164.9,70864.0,71107.1,81.23800719
1717700400000,70478.8,2024-06-06 19:00:00,71083.2,70450.6,71076.5,402.82658333
1717704000000,70723.1,2024-06-06 20:00:00,70744.0,70120.0,70479.1,343.90039405
1717707600000,70738.4,2024-06-06 21:00:00,70859.5,70663.2,70723.2,81.86576443
1717711200000,70888.8,2024-06-06 22:00:00,70888.8,70665.8,70738.3,144.55655381
1717714800000,70791.4,2024-06-06 23:00:00,70948.4,70751.4,70888.8,85.22832477
1717718400000,70878.9,2024-06-07 00:00:00,70882.8,70736.5,70791.4,83.34519682
1717722000000,70837.8,2024-06-07 01:00:00,70911.6,70666.8,70878.9,106.45613144
1717725600000,70825.1,2024-06-07 02:00:00,70873.2,70666.6,70837.9,95.9431577
1717729200000,70995.9,2024-06-07 03:00:00,71027.3,70744.2,70825.1,160.30496974
1717732800000,71216.1,2024-06-07 04:00:00,71263.1,70995.9,70996.0,233.94780403
1717736400000,71300.0,2024-06-07 05:00:00,71450.0,71161.8,71216.2,233.88089929
1717740000000,71273.4,2024-06-07 06:00:00,71359.4,71164.3,71300.0,96.1465251
1717743600000,71104.0,2024-06-07 07:00:00,71310.8,71055.4,71273.5,328.1556586
1717747200000,71116.4,2024-06-07 08:00:00,71198.6,71048.1,71104.1,148.19207601
1717750800000,71301.8,2024-06-07 09:00:00,71321.3,71060.0,71119.9,462.83784296
1717754400000,71376.4,2024-06-07 10:00:00,71437.2,71200.1,71296.4,120.39098891
1717758000000,71717.3,2024-06-07 11:00:00,71720.0,71302.2,71376.4,417.22080656
1717761600000,71225.9,2024-06-07 12:00:00,71997.0,70601.0,71717.3,2018.88437719
1717765200000,71528.4,2024-06-07 13:00:00,71640.0,71046.5,71227.9,463.17800578
1717768800000,71420.0,2024-06-07 14:00:00,71540.0,71168.8,71526.3,252.71142658
1717772400000,71108.6,2024-06-07 15:00:00,71420.0,70851.2,71420.0,394.30067592
1717776000000,70868.9,2024-06-07 16:00:00,71212.1,70778.2,71108.6,234.80966617
1717779600000,69791.0,2024-06-07 17:00:00,70869.8,69775.3,70869.8,893.84017599
1717783200000,69150.8,2024-06-07 18:00:00,69878.2,68300.0,69791.0,2516.43191952
1717786800000,69256.0,2024-06-07 19:00:00,69450.0,68800.0,69148.3,759.70867994
1717790400000,69308.5,2024-06-07 20:00:00,69322.0,68972.0,69260.1,385.8313749
1717794000000,69240.7,2024-06-07 21:00:00,69384.4,69200.1,69308.1,87.68560073
1717797600000,69500.3,2024-06-07 22:00:00,69536.4,69180.7,69240.7,116.22071985
1717801200000,69348.0,2024-06-07 23:00:00,69500.2,69306.6,69500.2,61.2670401
1717804800000,69396.0,2024-06-08 00:00:00,69482.6,69289.0,69348.0,173.80779111
1717808400000,69466.5,2024-06-08 01:00:00,69472.7,69292.3,69393.5,85.22344674
1717812000000,69426.2,2024-06-08 02:00:00,69466.6,69380.0,69466.6,103.75145638
1717815600000,69422.5,2024-06-08 03:00:00,69529.9,69407.1,69426.2,108.19915668
1717819200000,69308.0,2024-06-08 04:00:00,69461.8,69275.0,69422.6,54.75266184
1717822800000,69312.2,2024-06-08 05:00:00,69345.2,69228.1,69308.0,76.42991054
1717826400000,69336.8,2024-06-08 06:00:00,69417.4,69286.8,69312.2,55.2911607
1717830000000,69589.5,2024-06-08 07:00:00,69589.6,69336.8,69336.9,216.19816073
1717833600000,69429.9,2024-06-08 08:00:00,69589.6,69372.2,69589.6,101.29240955
1717837200000,69440.2,2024-06-08 09:00:00,69492.0,69369.0,69429.9,79.71682465
1717840800000,69455.8,2024-06-08 10:00:00,69500.0,69350.1,69440.2,73.86026321
1717844400000,69365.9,2024-06-08 11:00:00,69523.0,69308.6,69455.9,140.628883
1717848000000,69348.3,2024-06-08 12:00:00,69436.3,69270.0,69364.2,92.94592447
1717851600000,69421.4,2024-06-08 13:00:00,69428.0,69136.4,69348.3,202.61391775
1717855200000,69463.6,2024-06-08 14:00:00,69470.2,69305.9,69423.4,98.08965789
1717858800000,69420.8,2024-06-08 15:00:00,69497.1,69406.5,69463.7,77.74298581
1717862400000,69385.1,2024-06-08 16:00:00,69473.0,69297.2,69420.9,262.35387679
1717866000000,69443.6,2024-06-08 17:00:00,69470.8,69335.1,69385.1,101.1781893
1717869600000,69453.5,2024-06-08 18:00:00,69504.2,69398.6,69443.7,474.68763971
1717873200000,69452.6,2024-06-08 19:00:00,69495.3,69418.5,69454.2,43.09279742
